CONN,0,172.27.242.163,34318,->,169.254.13.198,80,6.000000
EVENT,0,0,169.254.13.198,SEND,1460,0,10.000000
EVENT,0,1,169.254.13.198,SEND,1460,0,10.000014
EVENT,0,2,169.254.13.198,SEND,1460,0,10.000180
CONN,4,172.27.242.163,59967,->,169.254.13.198,443,6.000332
EVENT,4,0,169.254.13.198,SEND,1354,0,10.000332
EVENT,4,1,169.254.13.198,SEND,1354,0,10.000344
EVENT,4,2,169.254.13.198,SEND,1354,0,10.000360
EVENT,4,3,169.254.13.198,SEND,1354,0,10.000368
EVENT,4,4,169.254.13.198,SEND,1354,0,10.000384
EVENT,4,5,169.254.13.198,SEND,1354,0,10.000391
EVENT,4,6,169.254.13.198,SEND,1354,0,10.000407
EVENT,4,7,169.254.13.198,SEND,1354,0,10.000414
EVENT,4,8,169.254.13.198,SEND,1354,0,10.000430
EVENT,4,9,169.254.13.198,SEND,1354,0,10.000436
EVENT,4,10,169.254.13.198,SEND,1354,0,10.000449
EVENT,4,11,169.254.13.198,SEND,1519,0,10.000471
EVENT,4,12,169.254.13.198,SEND,1354,0,10.000719
EVENT,4,13,169.254.13.198,SEND,1354,0,10.000730
EVENT,4,14,169.254.13.198,SEND,1354,0,10.000742
EVENT,4,15,169.254.13.198,SEND,1354,0,10.000758
EVENT,4,16,169.254.13.198,SEND,1354,0,10.000764
EVENT,4,17,169.254.13.198,SEND,1354,0,10.000781
EVENT,4,18,169.254.13.198,SEND,1354,0,10.000787
EVENT,4,19,169.254.13.198,SEND,1354,0,10.000805
EVENT,4,20,169.254.13.198,SEND,1354,0,10.000809
EVENT,4,21,169.254.13.198,SEND,1354,0,10.000824
EVENT,4,22,169.254.13.198,SEND,1354,0,10.000834
CONN,8,172.27.242.163,48262,->,169.254.13.198,80,6.000862
EVENT,8,0,169.254.13.198,SEND,1460,0,10.000862
EVENT,0,3,169.254.13.198,SEND,1460,0,10.000214
EVENT,0,4,169.254.13.198,SEND,1460,0,10.001006
EVENT,8,1,169.254.13.198,SEND,1460,0,10.000908
CONN,10,172.27.242.163,64023,->,169.254.13.198,443,6.000888
EVENT,10,0,169.254.13.198,SEND,1448,0,10.000888
EVENT,10,1,169.254.13.198,SEND,1448,0,10.001082
EVENT,10,2,169.254.13.198,SEND,1448,0,10.001089
EVENT,10,3,169.254.13.198,SEND,1448,0,10.001106
EVENT,10,4,169.254.13.198,SEND,1448,0,10.001114
EVENT,10,5,169.254.13.198,SEND,1448,0,10.001131
EVENT,10,6,169.254.13.198,SEND,1448,0,10.001139
EVENT,10,7,169.254.13.198,SEND,1448,0,10.001151
CONN,12,169.254.13.198,39046,->,172.27.242.163,80,6.001160
EVENT,12,0,172.27.242.163,SEND,1440,0,10.001160
EVENT,10,8,169.254.13.198,SEND,1448,0,10.001163
EVENT,10,9,169.254.13.198,SEND,1448,0,10.001177
EVENT,10,10,169.254.13.198,SEND,1448,0,10.001189
CONN,14,172.27.242.163,55814,->,169.254.13.198,80,6.001188
EVENT,14,0,169.254.13.198,SEND,1460,0,10.001188
EVENT,10,11,169.254.13.198,SEND,1448,0,10.001200
EVENT,10,12,169.254.13.198,SEND,1448,0,10.001213
EVENT,10,13,169.254.13.198,SEND,1448,0,10.001229
EVENT,10,14,169.254.13.198,SEND,1448,0,10.001237
